boro_ID,CDTA,perc_capture_rate,capture_rate
401,QN01,4.7,0.047
402,QN02,3,0.03
403,QN03,1.7,0.017
404,QN04,1.5,0.015
405,QN05,3.8,0.038
406,QN06,5,0.05
407,QN07,3.4,0.034
408,QN08,4.2,0.042
409,QN09,6.4,0.064
410,QN10,3.1,0.031
411,QN11,7.4,0.074
412,QN12,7.3,0.073
413,QN13,4.3,0.043
414,QN14,4.3,0.043
301,BK01,1.7,0.017
302,BK02,6.5,0.065
303,BK03,4.4,0.044
304,BK04,2.8,0.028
305,BK05,1.4,0.014
306,BK06,9.9,0.099
307,BK07,4.4,0.044
308,BK08,4.3,0.043
309,BK09,2.9,0.029
310,BK10,3.3,0.033
311,BK11,1.2,0.012
312,BK12,1.2,0.012
313,BK13,1.6,0.016
314,BK14,3,0.03
315,BK15,2.6,0.026
316,BK16,2,0.02
317,BK17,3.5,0.035
318,BK18,4.7,0.047
