BOROUGH,boro_ID,ComDist,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06
Bronx,101,BX01,0,0,0,0,0,0,0,0,0,0.5,2.9,2.3,1.1,0.7,0.8,1.8,2,2.1
Bronx,102,BX02,0,0,0,0,0,0,0,0,0,0.2,0.8,0.3,1,0.4,0.4,2.4,3.8,2.4
Bronx,103,BX03,0,0,0,0,0,0,0,0,0,0.8,1.4,0.9,0.7,0.3,0.5,1.8,1.6,1.7
Bronx,104,BX04,0,0,0,0,0,0,0,0,0,0.2,0.7,0.7,0.6,0.4,0.5,1,1.3,1.1
Bronx,105,BX05,0,0,0,0,0,0,0,0,0,0.5,0.9,0.7,0.8,0.6,0.5,1.2,1.5,1.6
Bronx,106,BX06,0,0,0,0,0,0,0,0,0,0.6,0.5,0.5,0.5,0.5,0.3,1.1,1.3,1.4
Bronx,107,BX07,0,0,0,0,0,0,0,0,0,0.4,0.7,0.5,0.5,0.3,0.4,2.1,3,3.1
Bronx,108,BX08,2.8,3.2,3.8,4.2,4.7,4.1,3.6,4.2,3.4,5.6,8.5,7,6,4.9,6.3,12.3,13.7,13.2
Bronx,109,BX09,0,0,0,0,0,0,0,0,0,1.7,5.1,3.6,1.9,1.3,1.7,5,7.3,6.6
Bronx,110,BX10,0,0,0,0,0,0,0,0,0,4.5,8.8,6.6,3.7,3.1,4.5,13.6,16,14.1
Bronx,111,BX11,0,0,0,0,0,0,0,0,0,2.8,8.9,4.6,3,2.1,3.3,9.9,12.6,11.3
Bronx,112,BX12,0,0,0,0,0,0,0,0,0,4.8,11.8,6.2,4.2,3.1,4.4,13.2,17.7,16.2
Brooklyn,301,BK01,2.7,1.4,1.4,1.4,1.7,1.6,1.8,1.8,1.4,1.9,2.6,2.1,2.9,1.5,1.7,3.4,4.2,4.1
Brooklyn,302,BK02,9.6,5.8,6.2,6.2,6.8,6.6,5.8,5.6,5.6,6.4,9.9,9.1,9.9,6.1,7.3,10.8,11.1,10.4
Brooklyn,303,BK03,5.3,3.4,4,3.9,4,4.2,4.1,3.6,3.8,5.3,9.7,7.3,6.1,4,4.5,6.5,8,7.4
